Yoga,S,9000,5000,3500,12000,7500,5400
Yoga,A,6000,3800,2800,8000,5000,3600
Yoga,B,5500,3400,2500,7500,4600,3300
Yoga,C,5000,3000,2200,7000,4200,3000
Mat Pilates,S,11200,6900,5000,15000,8800,6700
Mat Pilates,A,7500,4600,3400,10000,5900,4500
Mat Pilates,B,7000,4200,3100,9500,5500,4200
Mat Pilates,C,6500,3800,2800,9000,5100,3900
Nail,S,11000,12500,18000,なし,なし,なし
Nail,A,8000,9000,13000,9500,5800,なし
Nail,B,7500,8500,12000,9000,5400,なし
Nail,C,7000,8000,11000,8500,5000,なし
Nail,EX,10800,10800,16200,なし,10800,なし
Hand Nail,S,11000,12500,18000,なし,なし,なし
Hand Nail,A,8000,9000,13000,9500,5800,なし
Hand Nail,B,7500,8500,12000,9000,5400,なし
Hand Nail,C,7000,8000,11000,8500,5000,なし
Hand Nail,EX,10800,10800,16200,なし,10800,なし
Foot,S,12000,13500,19000,なし,なし,なし
Foot,A,9000,10000,14000,10500,6400,なし
Foot,B,8500,9500,13000,10000,6000,なし
Foot,C,8000,9000,12000,9500,5600,なし
整体,S,11000,11000,12000,15000,15000,15500
整体,A,8000,8000,8500,10500,10500,11000
整体,B,7000,7000,7500,9500,9500,10000
整体,C,6000,6000,6500,8500,8500,9000
鍼灸,S,11000,12000,15000,なし,なし,なし
鍼灸,A,8000,8500,11500,なし,なし,なし
鍼灸,B,7000,7500,10500,なし,なし,なし
鍼灸,C,6000,6500,9500,なし,なし,なし
Facial,S,18000,16500,25000,25500,15000,なし
Facial,A,12000,11000,17000,17200,10000,なし
Facial,B,10500,9500,15500,15700,8500,なし
Facial,C,9000,8000,14000,14200,7000,なし
Eye,A,7600,8100,9800,なし,なし,なし
Eye,B,7300,7800,9500,なし,なし,なし
Eye,C,7000,7500,9200,なし,なし,なし
Eye,Ex,10800,10800,18360,なし,なし,なし
ヘアカット,S,10500,13000,なし,なし,なし,なし
ヘアカット,A,7000,9000,なし,なし,なし,なし
ヘアカット,B,6500,8500,なし,なし,なし,なし
ヘアカット,C,6000,8000,なし,なし,なし,なし
マタニティ―/ママ＆ベビー,C,6500,6500,5000,6500,6000,8000
マタニティ―/ママ＆ベビー,B,なし,7500,5500,7000,7000,8500
マタニティ―/ママ＆ベビー,A,なし,8500,6000,7500,8000,9000
マタニティ―/ママ＆ベビー,S,なし,12000,9000,11200,11000,13000
