Yoga,S,9000,5000,3500,12000,7500,5400
Yoga,A,6000,3800,2800,8000,5000,3600
Yoga,B,5500,3400,2500,7500,4600,3300
Yoga,C,5000,3000,2200,7000,4200,3000
Mat Pilates,S,11200,6900,5000,15000,8800,6700
Mat Pilates,A,7500,4600,3400,10000,5900,4500
Mat Pilates,B,7000,4200,3100,9500,5500,4200
Mat Pilates,C,6500,3800,2800,9000,5100,3900
Nail,S,11000,12500,18000,,,
Nail,A,8000,9000,13000,9500,5800,
Nail,B,7500,8500,12000,9000,5400,
Nail,C,7000,8000,11000,8500,5000,
Nail,EX,10800,10800,16200,,10800,
Hand Nail,S,11000,12500,18000,,,
Hand Nail,A,8000,9000,13000,9500,5800,
Hand Nail,B,7500,8500,12000,9000,5400,
Hand Nail,C,7000,8000,11000,8500,5000,
Hand Nail,EX,10800,10800,16200,,10800,
Foot,S,12000,13500,19000,,,
Foot,A,9000,10000,14000,10500,6400,
Foot,B,8500,9500,13000,10000,6000,
Foot,C,8000,9000,12000,9500,5600,
Facial,S,18000,16500,25000,25500,15000,
Facial,A,12000,11000,17000,17200,10000,
Facial,B,10500,9500,15500,15700,8500,
Facial,C,9000,8000,14000,14200,7000,
Eye,A,7600,8100,9800,,,
Eye,B,7300,7800,9500,,,
Eye,C,7000,7500,9200,,,
Eye,Ex,10800,10800,18360,,,
